Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00478684112867077,0.0250927539838418,0.0149908273938347,0,0,0,1.01281835096414,0.00625100932656393,-0.000584685336704712,-3.36809667859681E-08,0.00384046369591767,-5.81060329781402E-08,0.0100624230595877,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/base_link.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/base_link.STL,,5.142525减重底板整车安装-1;5.142525减重地板垫块122-1;5.142525减重减重轴承101.6.114.3-3;5.142525减重小轴承内嵌云台双轴承对放-1;5.142525减重减重轴承101.6.114.3-2;5.142525减重上压板-2;RS06.STEP-2,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-3.83399007091671E-06,0.000996336644076154,0.0271761217498465,0,0,0,1.72029055581718,0.00396614542830981,2.48544020273579E-08,3.50462996266083E-08,0.00413293701909661,-1.02913022597343E-05,0.006905050095558,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link1.STL,,5.142525减重云台电机智联锁扣-1;5.142525减重云台版旋转2-1;5.142525减重最终版末端03电机固定1205青春版减重版-1;5.142525轴承波先板固定-1;5.14六面落幕上大学-1;5.14六面落幕上大学-2;5.142525减重最终版末端卡板限位05青春版减重版-2;5.142525减重最终版末端卡板限位05青春版减重版-1;5.142525减重最终版末端03电机固定05青春版减重版-1;5.14六面落幕-2;5.142525轴承波先板固定2-1;5.142525法兰轴承打印件-1;5.142525半成品法兰轴承-1;5.142525减重云台版旋转2...1221-2;5.142525减重云台底座打印件套间-1;5.14六面落幕-1;5.14分电板固定-1;RS03.stp-1,坐标系1,基准轴1,joint1,revolute,0,0,0.0524999999999884,0,0,-1.5707963267949,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link2,0.191031530654798,4.32410906688746E-07,0.0306854552516935,0,0,0,0.787811387302494,0.000496067953875624,2.27668521347578E-06,-6.33210945268572E-05,0.0122617104406543,-9.69074921443854E-09,0.0124340315584268,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link2.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link2.STL,,5.142525半成品玻纤横铝加固版-2;5.142525半成品大臂电机连接-1;5.142525半成品大臂电机连接两铝加持-1;5.142525半成品大臂电机连接两铝加持另一边-1;5.142525半成品铝管横限-1;5.142525半成品轴承内铝管外-1;5.142525半成品大臂铝管-1;5.142525半成品玻纤横铝加固版-1;5.142525中州点击骨钉拨弦-1;5.142525半成品垫块玻纤限位-1;5.142525半成品垫块打印-1;5.142525M4系列螺栓-1;RS06.STEP-1,坐标系2,基准轴2,joint2,revolute,0,0.0265199999999967,0.122000000000151,1.5707963267949,-0.738630459541333,0,Link1,0,0,-1,0,0,0,0,,,,,,,,
Link3,0.272822041288294,0.000176428281516983,0.0290321910102993,0,0,0,0.494884613006494,0.000156386732074375,9.61808805072818E-07,3.85189662683059E-06,0.00500770045792098,-1.06706134769184E-06,0.00512721053413109,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link3.STL,,5.142525半成品大小臂传动轴-1;5.142525半成品小臂夹具-1;5.142525M3X18322-1;5.142525半成品小臂夹具打印件填充-1;装配体4^5.142525半成品直驱机械臂装配体-1/5.142525半成品小臂铝管-1;5.142525半成品小臂夹具外壳-1;5.142525装配体1-1/5.142525减重最终版末端固定01电机05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端垫块填充05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端电机01另册05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端固定01电机上盖兹05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端垫圈1105青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端LYT的RS0105青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端轴承6.11.4.505青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端轴承精品05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端轴承6.11.4.505青春版减重版-2,坐标系3,基准轴3,joint3,revolute,0.500000000000009,0,0.0445000000000004,0,0,-1.91590708820095,Link2,0,0,-1,0,0,0,0,,,,,,,,
Link4,0.0657170477188147,-0.0294055179431782,-0.0257341380890683,0,0,0,0.236643991494003,0.000208887423278697,6.10061374291393E-06,7.45333923607024E-08,0.000173664803767011,-2.73375761328362E-08,0.000212295859441199,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link4.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link4.STL,,5.142525装配体1-1/5.142525减重最终版末端第四关节玻纤板另一侧05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端第四关节玻纤板05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端榫卯插板下05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端相机支座05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端榫卯插板05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端垫块填充是的是的05青春版减重版-1;5.142525装配体1-1/5.142525减重最终版末端轴承6.11.4.505青春版减重版-6;5.142525装配体1-1/5.142525减重最终版末端轴承6.11.4.505青春版减重版-5;5.142525装配体1-1/5.142525减重最终版末端轴承6.11.4.505青春版减重版-3;5.142525装配体1-1/5.142525减重最终版末端垫01电机05青春版减重版-1;5.142525装配体1-1/EL05 (1).stp-1,坐标系4,基准轴4,joint4,revolute,0.509641016151201,0,0.00849999999999872,-3.14159265358979,0,0,Link3,0,0,-1,0,0,0,0,,,,,,,,
Link5,0.0644377757611495,0.00249543078424797,0.0273875662735835,0,0,0,0.243627744303709,9.85460950327366E-05,2.02598871214805E-06,2.4132856034521E-06,4.48068939622616E-05,2.98499329808721E-06,0.000120887530540446,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link5.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link5.STL,,5.142525装配体1-1/5.142525减重最终版垫块05电机5毫米减重版-2;5.142525装配体1-1/5.142525减重最终版垫块05电机5毫米减重版-3;5.142525装配体1-1/5.142525减重最终版垫块05电机5毫米外界吸盘减重版-1;5.142525装配体1-1/5.142525减重最终版垫块05电机5毫米外界吸盘下端减重版-2;5.141212ok新新新新、-1/5.141212okxin新新壳-1;5.14点模块-1;5.141212ok新新新新、-1/5.141212ok后盖-1;5.14点模块15-1;5.141212ok新新新新、-1/5.141212okGAIGAIYAO三指YOY微动开关-1;5.141212ok新新新新、-1/5.141212okGAIGAIYAO三指【蜗轮蜗杆爪子】打印件 从动爪轴-1;5.141212ok新新新新、-1/5.141212okGAIGAIYAO三指YOY小扭矩电机-1,坐标系5,基准轴5,joint5,revolute,0.0721180192043501,-0.0496713328390738,-0.0268500000004852,-1.5707963267949,0.377238647618418,-0.0832817709127397,Link4,0,0,1,0,0,0,0,,,,,,,,
Link6,-1.66533453693773E-16,-2.77555756156289E-17,0.00904231405469758,0,0,0,0.0254009547015186,5.36342143009959E-06,4.80115226400703E-22,-2.30720627290478E-21,5.36342143009959E-06,2.64697796016969E-21,5.08093890442716E-06,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link6.STL,,5.142525装配体1-1/5.142525减重最终版末端吸盘（直径80）05青春版减重版-1,坐标系6,基准轴6,joint6,revolute,0.0522500000000078,0,0.0462500000000007,0.81618705397189,1.57079631189374,0.96472116056727,Link5,0,0,1,0,0,0,0,,,,,,,,
Link7,-0.0128080792240747,0.0118957053688518,-0.00763189739045395,0,0,0,0.233866731874561,4.27301894412639E-05,-8.3206250620716E-07,-9.95965464000216E-07,0.000113894597593901,1.83037115546699E-09,9.08715305956122E-05,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link7.STL,0.549019607843137,1,0.92156862745098,1,0,0,0,0,0,0,package://5.142525半成品直驱机械臂装配体78989789urdfxin/meshes/Link7.STL,,5.141212ok新新新新、-1/5.141212okGAIGAIYAO三指YOY10几mm  小扭矩1.5-20-3-1;5.141212ok新新新新、-1/5.141212okGAIGAIYAO三指YOY10+mm  小扭矩1.5-20-3另-1;5.141212ok新新新新、-1/5.141212okGAIGAIYAO三指YOY微动开关-2,坐标系7,基准轴7,joint7,fixed,0.00749999999999929,0.00150000000000178,0.0659500000000004,2.01799595197509,-1.57079631189374,1.11206808047685,Link6,0,0,0,,,,,,,,,,,,
